"#query Configure barracks, archery range, booze piles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,`,`,,`,,,,,,,r++++++++++++,,,,,,,#
,,,,,,,,,,,,,,`,`,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
,,,,,,,,,,,,,,`,`,,booze,`,`,`,`,`,`,`,`,`,`,`,`,,#
,,,,,,,,,,,,,,`,`,,`,`,`,`,`,`,`,`,`,`,`,`,`,r++++++++++,#
,,,,,,,,,,,,,,`,`,,`,`,`,`,`,`,`,`,`,`,`,`,`,,#
,,,,,,,,,,,,,,`,`,,,,,`,`,`,`,`,`,`,`,`,`,`,#
,,,,,,,,,,,,,,,,`,`,`,,,,,,,`,,,,,,#
,,,,,,,,,,,,,,booze,`,`,`,`,,,,,,,,,,,,,#
`,`,`,`,~,`,`,`,`,`,,`,`,booze,~,~,booze,`,`,,`,`,`,`,`,~,`,`,`,`,`,#
`,`,`,`,~,`,`,`,`,`,,`,`,`,~,~,`,`,`,,`,`,`,`,`,~,`,`,`,`,`,#
,,,,,,,,,,,,,,booze,`,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,`,`,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,`,`,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,`,`,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,`,`,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,`,`,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,`,`,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,`,`,,,,,,,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
