f,b,h,d,,d,h,b,f,,f,b,h,d,,,d,h,b,f,,f,b,h,d,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,#
f,b,h,d,,d,h,b,f,,f,b,h,d,,,d,h,b,f,,f,b,h,d,,d,h,h,f,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,#
b,,b,,,,b,,b,,f,b,h,d,,,d,h,b,f,,b,,b,,,,b,,b,,#
f,,f,,,,f,,f,,,,,,,,,,,,,f,,f,,,,f,,f,,#
h,,h,,,,h,,h,,c,t,t,c,,,,,,,,h,,h,,,,h,,h,,#
d,,d,,,,d,,d,,,c,c,,,,,,,,,d,,d,,,,d,,d,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
d,,d,,,,d,,d,,,,,,,,,c,c,,,d,,d,,,,d,,d,,#
h,,h,,,,h,,h,,,,,,,,c,t,t,c,,h,,h,,,,h,,h,,#
f,,f,,,,f,,f,,,,,,,,,,,,,f,,f,,,,f,,f,,#
b,,b,,,,b,,b,,f,b,h,d,,,d,h,b,f,,b,,b,,,,b,,b,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,#
f,b,h,d,,d,h,b,f,,f,b,h,d,,,d,h,b,f,,f,b,h,d,,d,h,h,f,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,#
f,b,h,d,,d,h,b,f,,f,b,h,d,,,d,h,b,f,,f,b,h,d,,,,,,,#
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
